selection,horizon,observations,win_rate,average_net_return,median_net_return,average_winner,average_loser,profit_factor,best,worst,symbol
TRADE,5,4,0.25,0.003547865596448513,-0.012810564701464633,0.0753418156106922,-0.020383451074966048,1.2320749045161004,0.0753418156106922,-0.03552922382196888,SUNPHARMA
TRADE,5,2,0.5,0.001606654829664933,0.001606654829664933,0.011716782452788843,-0.008503472793458977,1.3778820415350304,0.011716782452788843,-0.008503472793458977,SBIN
TRADE,5,11,0.6363636363636364,-4.305447266132619e-05,0.007576694729426681,0.03360487831311005,-0.058926936847761235,0.997990735542142,0.10348774576989528,-0.09467993120878271,SAIL
TRADE,5,9,0.4444444444444444,-0.0011047729769101894,0.0,0.03139422721582802,-0.027103973131100755,0.9266310017051888,0.06951136618038944,-0.0647284044391323,NTPC
TRADE,5,15,0.4666666666666667,-0.0024512309238216234,-0.0029601995360787337,0.01599044478681431,-0.018587697170628067,0.7527365579514524,0.027308018572765436,-0.049246200694197495,BAJFINANCE
TRADE,5,20,0.5,-0.00323400691235044,0.00045005200643838394,0.0281361459108338,-0.03460415973553468,0.8130856557670164,0.07808991562014578,-0.06257315708947742,LT
TRADE,5,24,0.4583333333333333,-0.0038252077446279628,-0.002030169896027556,0.03256475680761219,-0.034616716211908094,0.7959967679530185,0.08312119235050908,-0.0917060746076922,POWERGRID
TRADE,5,9,0.3333333333333333,-0.004445049342729355,-0.014528495576792255,0.027224577030414848,-0.020279862529301456,0.671221932374524,0.03421784352892954,-0.03323853080198913,HEROMOTOCO
TRADE,5,7,0.42857142857142855,-0.009116595579587343,-0.004168936480306917,0.007546314332964228,-0.021613778014001023,0.26185777174434266,0.013759708073309618,-0.031028778434017745,DIVISLAB
TRADE,5,3,0.6666666666666666,-0.009708883722745068,0.021048535852868033,0.022628399250606668,-0.07438344966944854,0.6084256471342661,0.024208262648345302,-0.07438344966944854,JSWSTEEL
TRADE,5,14,0.35714285714285715,-0.011063196082810691,-0.018264391350228393,0.01934946023442574,-0.027959116259053157,0.3844792528717989,0.037922928633800757,-0.048834413414870936,HINDALCO
TRADE,5,8,0.625,-0.01461315966346402,0.0014357656835903843,0.01218648950224166,-0.05927924160630682,0.3426294818675367,0.02676353123672759,-0.07488162817451716,BAJAJFINSV
TRADE,5,2,0.0,-0.018857393897666053,-0.018857393897666053,,-0.018857393897666053,0.0,-0.011986925082472566,-0.02572786271285954,ITC
TRADE,5,1,0.0,-0.027392793586674236,-0.027392793586674236,,-0.027392793586674236,0.0,-0.027392793586674236,-0.027392793586674236,NESTLEIND
TRADE,5,1,0.0,-0.03306103043246977,-0.03306103043246977,,-0.03306103043246977,0.0,-0.03306103043246977,-0.03306103043246977,WIPRO
TRADE,5,1,0.0,-0.035229438168535854,-0.035229438168535854,,-0.035229438168535854,0.0,-0.035229438168535854,-0.035229438168535854,BPCL
TRADE,5,0,,,,,,,,,APOLLOHOSP
TRADE,5,0,,,,,,,,,ASIANPAINT
TRADE,5,0,,,,,,,,,AXISBANK
TRADE,5,0,,,,,,,,,EICHERMOT
TRADE,5,0,,,,,,,,,HDFCBANK
TRADE,5,0,,,,,,,,,HINDUNILVR
TRADE,5,0,,,,,,,,,ICICIBANK
TRADE,5,0,,,,,,,,,KOTAKBANK
TRADE,5,0,,,,,,,,,MARUTI
TRADE,5,0,,,,,,,,,TCS
