ticker,price,atr,atr_pct,rsi,volume_ratio,ext_atr,relative5,trend,p1,p3,p5,pred1,pred3,pred5,ensemble_probability,ensemble_return,score,tier,turnover_cr,date
BAJFINANCE,1079.9000244140625,22.399096214788962,2.0741823972957474,50.3127313117202,0.9381633153754138,-0.2256348920389786,-1.0641754185486518,False,0.47600518806744485,0.4918394353771504,0.4814249363867684,-0.057003689235372704,-0.2207856071438556,-0.4117892879214647,0.48606896116761383,-0.2357801437565613,-0.43826715478199296,REJECTED,491.82005600892336,2026-08-30 15:10 IST
HCLTECH,1316.0999755859375,31.277362375787842,2.3765187262360468,52.97557118098109,2.159136214698081,0.13123365456755795,1.3589617845668922,False,0.42115027829313545,0.4918394353771504,0.4814249363867684,-0.23133676545531345,-0.3883181988766751,-0.5937545863267548,0.47509797921275193,-0.4082810090549227,-0.40779046520682294,REJECTED,455.3016279140137,2026-08-30 15:10 IST
KOTAKBANK,423.70001220703125,7.617038794287803,1.797743350209278,74.16225985625397,1.8461167871409272,3.1179212356081005,5.503503249262964,True,0.42115027829313545,0.39622641509433965,0.28125,-0.23768726313825395,-0.6206808080560334,-0.9207052162912583,0.3724670839605139,-0.6190882011312838,-0.14164042289003062,REJECTED,803.0351587958862,2026-08-30 15:10 IST
MARUTI,13376.0,218.30793077674468,1.6320868030558064,38.02224572291473,0.9670347668215034,-1.366110273257839,-1.0784737735130556,False,0.47600518806744485,0.4918394353771504,0.49812593703148444,-0.18727759912564299,-0.20099436014195285,-0.33662522251533855,0.4902442113287928,-0.23215872353203731,-0.3518875777212498,REJECTED,371.1960384,2026-08-30 15:10 IST
M&M,3334.0,63.36249351969709,1.9004947066495828,47.27658358937785,0.9963674691826163,-0.6869333233994793,-1.9769573825999198,False,0.47600518806744485,0.4918394353771504,0.4814249363867684,-0.1367153055091645,-0.2412526074377237,-0.4464599808407174,0.48606896116761383,-0.2716469904027603,-0.40253029178591315,REJECTED,581.4742716,2026-08-30 15:10 IST
AXISBANK,1265.0,20.028332132037697,1.5832673622164186,54.949749076810875,0.7096375431713061,0.8635993664463297,1.8559921651094102,False,0.47600518806744485,0.4591947769314472,0.4017857142857143,-0.07916175671335147,-0.3332342896294579,-0.7543318963330764,0.44820459349721353,-0.38769418472214123,-0.26937207334819613,REJECTED,410.2988285,2026-08-30 15:10 IST
TITAN,5169.2001953125,77.82454634945127,1.5055432834662432,71.92795517034712,0.9843189328177586,1.8338542837422782,1.9486845216658333,True,0.42115027829313545,0.42083333333333334,0.28125,-0.1240024531731187,-0.44885190783098566,-0.8649578625294727,0.38600088899196044,-0.48790850557403403,-0.24089269448253,REJECTED,283.1708543792969,2026-08-30 15:10 IST
NTPC,330.04998779296875,6.003599117697048,1.8189969216005364,33.47800721947824,0.9769997359798681,-1.4615527040124958,-2.611656392892059,False,0.47600518806744485,0.4918394353771504,0.49812593703148444,-0.16483694155794368,-0.16399596709809572,-0.2988436233617795,0.4902442113287928,-0.19787607605598626,-0.38993850995792745,REJECTED,242.00882349920656,2026-08-30 15:10 IST
ADANIENT,3168.5,63.50257712825817,2.004184223710215,66.52445842042113,0.6023742256757055,1.7793898708239493,6.037206841368947,True,0.42115027829313545,0.4017094017094017,0.391304347826087,-0.16016071315606287,-0.5090590457080396,-0.811388065732305,0.4029963135553198,-0.5148616342037107,-0.21094989168865827,REJECTED,168.18239575,2026-08-30 15:10 IST
BAJAJFINSV,2002.0,35.11407792629297,1.7539499463682804,53.64777151684851,0.5157950868816812,0.03412681917991219,-1.185797220503515,True,0.47600518806744485,0.4918394353771504,0.4814249363867684,-0.1070698641553498,-0.27576483264031093,-0.5141001205249222,0.48606896116761383,-0.3016096609144715,-0.2523865174768115,REJECTED,93.4339406,2026-08-30 15:10 IST
